frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
182.0,182.0,0.0,182.0,182.0,40.0,40.0,0.0,40.0,40.0,1e-05,1e-05,0.0,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0
182.0,182.0,0.0,182.0,182.0,40.0,40.0,0.0,40.0,40.0,1e-05,1e-05,0.0,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0
183.5888888888889,182.0,14.989547798712158,182.0,325.0,42.13333333333333,40.0,20.125826415054092,40.0,232.0,162.3228396484996,1e-05,1531.3505122059837,1e-05,14609.054678364966,0.0,0.0,0.0,0.0,0.0
329.68888888888887,325.0,139.42426414401032,171.0,801.0,184.67777777777778,232.0,92.32248164604303,40.0,331.0,9860.783192077764,12489.192230585239,7698.021501067279,1e-05,30774.505963294276,0.0,0.0,0.0,0.0,0.0
293.14444444444445,200.0,165.1672257717487,133.0,802.0,214.4777777777778,247.5,121.64385427941116,40.0,435.0,15913.227553494733,14803.30800823461,13564.12962226527,1e-05,50854.72730005178,0.0,0.0,0.0,0.0,0.0
386.55555555555554,378.5,174.80351579931815,145.0,789.0,297.23333333333335,302.0,110.23339381109116,40.0,709.0,24952.008687288522,27896.635869224443,19123.101139087554,1e-05,129847.91260929679,0.0,0.0,0.0,0.0,0.0
345.4,369.0,154.3013501777177,135.0,763.0,314.7888888888889,311.5,118.07949247523838,40.0,595.0,29971.219676691315,30312.942228093147,19229.645223656567,1e-05,90572.26849785735,0.0,0.0,0.0,0.0,0.0
378.46666666666664,386.5,132.17019331150274,133.0,757.0,356.9,350.0,150.48492357117448,40.0,723.0,38883.39082186486,31551.45389030521,28354.25605217937,1e-05,128610.48043673795,0.0,0.0,0.0,0.0,0.0
337.1333333333333,356.5,140.37965981184342,147.0,628.0,362.23333333333335,316.5,203.9318540863862,40.0,723.0,45362.63912018493,30440.704359693005,37977.60549869052,1e-05,129461.61860222797,0.0,0.0,0.0,0.0,0.0
356.76666666666665,385.0,141.44987726321213,143.0,712.0,395.3222222222222,334.5,201.74212515418884,65.0,723.0,51270.67841297375,31743.623923537576,40062.47228845263,707.8435463484927,129919.4261016468,0.0,0.0,0.0,0.0,0.0
336.75555555555553,283.5,144.8397053535859,147.0,691.0,348.81111111111113,310.5,224.13204909628334,54.0,748.0,44671.9277249977,30327.3031574763,42152.562668127575,550.0058231199446,130842.00269620726,0.0,0.0,0.0,0.0,0.0
400.9888888888889,419.5,175.3868419266042,133.0,779.0,513.3888888888889,595.0,168.53220558987428,295.0,754.0,74736.7086023177,86926.63732992132,39870.18836340181,16886.70312573657,136123.36488078872,0.0,0.0,0.0,0.0,0.0
329.23333333333335,360.5,154.08490083933162,133.0,734.0,451.2111111111111,416.0,185.44957352603336,54.0,739.0,63031.83417113525,45390.702180309905,42136.154502081896,550.0058231199446,136123.36488078872,0.0,0.0,0.0,0.0,0.0
364.76666666666665,375.0,146.52713438510668,133.0,709.0,502.26666666666665,436.0,184.45895659107117,65.0,727.0,74676.41484572958,51492.89392051346,43928.03620154105,707.8435463484927,136123.36488078872,0.0,0.0,0.0,0.0,0.0
402.18888888888887,427.5,134.28385312418072,133.0,711.0,571.0777777777778,596.0,165.64555383762294,40.0,744.0,91019.54866002258,92004.80602724092,40119.00703712405,1e-05,136123.36488078872,0.0,0.0,0.0,0.0,0.0
397.96666666666664,428.5,130.0443044162685,133.0,615.0,546.6888888888889,595.0,198.04716859287416,40.0,746.0,86816.42769081087,91739.68626804544,44030.76361267571,1e-05,136123.36488078872,0.0,0.0,0.0,0.0,0.0
366.97777777777776,373.5,127.8568624828195,141.0,751.0,501.5444444444444,595.0,221.11938259235598,40.0,751.0,77817.00606787766,91755.37364268921,48305.18543397111,1e-05,136123.36488078872,0.0,0.0,0.0,0.0,0.0
387.46666666666664,377.0,111.73422831781575,133.0,591.0,574.6555555555556,596.0,158.52852257286636,40.0,726.0,92187.20163708976,92020.31308120316,39726.01976192603,1e-05,136123.36488078872,0.0,0.0,0.0,0.0,0.0
409.53333333333336,430.5,127.74298850078274,133.0,617.0,581.9,648.5,170.12890864152266,40.0,753.0,94207.48370098819,109482.36485299878,41923.44113917906,1e-05,136123.36488078872,0.0,0.0,0.0,0.0,0.0
363.8,363.0,103.45822560069568,133.0,578.0,511.4,436.0,164.73317145547153,293.0,726.0,75653.87574393579,51492.89392051346,42498.25753562303,18043.53225988018,136123.36488078872,0.0,0.0,0.0,0.0,0.0
380.44444444444446,377.5,123.16367710499996,133.0,649.0,526.8,595.0,192.7427877307533,40.0,727.0,81596.18308230254,91708.32949849631,44685.38321546787,1e-05,136123.36488078872,0.0,0.0,0.0,0.0,0.0
406.9555555555556,417.5,104.05083278123792,133.0,559.0,591.7333333333333,697.5,159.37152959184536,40.0,724.0,96730.41781888134,127894.2583497468,40475.44152064727,1e-05,136123.36488078872,0.0,0.0,0.0,0.0,0.0
394.65555555555557,380.5,118.57263700750514,135.0,889.0,572.4111111111112,697.5,258.7411788918049,40.0,1796.0,99855.92865498179,127867.25785310515,79645.37858263688,1e-05,696688.3004566615,0.0,0.0,0.0,0.0,0.0
